@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data

1,53.8,?,3.5,?,?,?,3.3,4.3,?,?,?,9.5,1.2,0.3,?,0.2,2.3,73.3,?,0.2,?,?,?,38.1,?,?,?,?,13.7,3.2,18.0,?,?,?,36.6,?,0.1,?,25.9,33.8,?,?,3.9,?,7.7,10.9,?,18.6,?,25.3,?,?,28.1,9.4,?,?,?,1.2,?,?,6.3,?,0.2,0.1,?,0.0,25.0,0.8,0.4,?,?,37.3,?,?,10.6,?,0.1,?,0.7,?,6.6,55.3,?,3.9,6.9,?,?,0.1,?,?,?,53.6,4.4,42.0,7.7,40.3,52.1,?,0.7,0.4,0.0,5.4,26.3,?,?,?,2.8,79.7,73.7,?,?,16.5,?,2.8,?,21.6,47.1,1.3,5.3,1.6,66.1,?,?,?,?,?,?,?,?,?,2.3,?,?,100.0,53.8,42.7,?,?,50.9,41.5,?,4.3,?
?,77.9,?,?,?,72.8,19.1,1.8,?,?,1.2,0.0,1.5,0.1,?,?,?,?,48.9,?,?,?,?,1.9,?,1.1,0.0,0.6,40.3,30.3,?,?,11.8,?,0.1,78.7,?,?,0.7,?,?,13.6,?,?,5.3,8.3,10.7,?,21.8,?,?,?,20.6,69.6,9.8,23.8,?,?,1.8,?,0.0,1.3,91.3,?,0.7,?,?,?,0.2,?,?,?,19.6,3.4,?,0.8,0.0,0.0,?,0.1,97.3,?,73.2,?,1.4,?,0.0,0.0,0.0,2.7,?,?,84.3,5.5,?,?,?,12.2,?,0.2,0.1,?,15.8,?,?,0.0,0.0,?,?,?,?,3.5,?,0.0,0.6,68.4,?,75.6,?,11.1,?,87.9,3.6,?,3.2,?,6.1,?,?,23.0,1.1,?,0.5,?,100.0,77.9,?,1.8,93.7,72.8,?,?,6.3,5.1
0,?,51.6,?,?,?,?,?,3.0,?,0.9,?,8.7,1.1,?,0.1,?,0.7,?,7.0,?,21.3,1.3,14.3,?,10.0,6.1,0.9,8.1,9.0,0.9,43.0,18.7,?,?,?,?,0.1,?,17.0,34.3,24.7,?,4.9,5.0,4.0,?,14.0,21.1,?,?,6.0,?,?,?,14.0,?,?,1.4,?,?,?,73.0,?,0.5,0.0,0.0,?,?,?,?,34.9,38.2,26.8,90.3,?,?,?,0.1,?,84.1,3.0,?,?,?,?,0.1,?,0.1,?,?,15.1,52.9,?,43.9,?,?,65.8,?,1.0,?,?,?,16.7,?,?,0.0,?,?,50.7,7.9,41.1,?,2.2,0.3,?,?,37.3,0.9,5.7,?,?,?,0.4,?,4.5,?,30.5,?,56.8,8.9,2.9,?,?,?,40.5,51.6,?,97.0,?,?,7.8,3.0,2.1
?,42.0,50.2,7.8,96.8,?,49.2,?,3.2,2.2,?,0.1,8.4,1.1,0.5,0.1,?,0.7,?,8.5,?,20.6,1.2,13.8,?,?,?,0.9,10.0,8.9,?,41.7,18.4,0.2,?,?,0.4,?,1.3,?,34.1,24.3,12.6,4.8,?,4.2,?,?,?,?,?,?,?,?,?,14.1,72.0,12.3,1.5,?,?,?,70.3,0.4,0.5,0.0,0.0,?,?,1.5,3.3,36.2,37.4,?,90.7,8.4,?,0.1,0.1,0.5,84.3,?,?,3.2,?,?,0.1,?,0.1,15.7,1.2,14.5,54.2,?,42.7,5.6,30.4,64.0,77.3,?,?,?,?,?,?,0.1,?,?,?,?,8.4,39.5,37.4,?,?,69.8,17.6,?,1.0,6.0,1.0,?,?,0.5,2.3,?,1.6,29.5,34.5,55.9,8.6,?,5.8,?,?,42.0,?,?,?,39.8,?,?,3.2,2.2
?,?,?,6.6,?,71.9,13.8,6.2,8.1,?,1.6,?,?,?,?,?,?,?,50.9,45.1,0.1,3.8,?,2.9,28.1,0.7,?,0.7,?,?,0.5,?,?,0.8,?,?,?,?,?,35.7,31.1,14.1,8.8,?,?,8.5,8.4,?,?,16.6,26.3,?,38.7,60.6,?,17.0,?,?,2.8,0.4,0.1,88.6,7.6,0.4,?,0.0,?,?,?,?,?,?,16.7,17.4,99.3,0.6,?,?,?,0.0,89.3,?,?,?,0.4,1.3,0.1,0.0,0.0,10.7,9.7,?,83.5,?,?,?,57.9,?,?,?,0.1,0.1,8.7,?,?,?,?,0.3,?,?,?,2.2,2.0,0.2,0.3,?,?,?,?,?,3.7,79.0,?,?,?,?,?,6.2,?,?,?,?,?,?,100.0,?,?,?,91.9,71.9,?,?,8.1,6.1
0,48.8,?,5.9,97.7,?,44.6,5.9,2.3,?,?,?,?,?,0.3,0.0,?,?,?,10.0,?,?,?,14.9,?,?,?,0.7,12.0,10.1,0.6,?,?,?,1.1,43.0,0.3,0.0,?,?,32.6,?,?,?,?,4.5,?,?,?,18.6,?,5.9,?,18.5,?,?,71.4,12.8,1.6,0.2,?,15.7,74.5,?,?,?,0.0,7.3,0.3,0.4,?,57.6,?,12.0,?,?,?,?,0.0,0.4,84.9,?,50.6,?,?,?,?,0.0,0.1,15.1,?,14.7,?,?,39.7,?,29.3,?,72.3,?,?,0.1,2.0,23.7,?,0.2,0.0,0.2,?,50.3,?,?,?,?,?,63.3,22.8,43.3,?,4.9,1.1,?,1.4,?,?,?,?,?,29.2,?,?,3.9,5.0,0.7,100.0,?,45.3,?,97.7,47.2,?,?,2.3,1.6
1,?,?,5.1,?,?,39.9,5.1,?,?,?,0.0,?,?,0.3,?,?,0.8,73.0,?,?,?,?,13.3,30.4,?,?,0.7,?,?,?,?,?,0.4,?,49.9,?,0.0,1.0,?,32.2,?,?,5.5,5.8,?,7.8,15.0,?,?,?,5.5,?,24.9,3.7,14.3,?,12.2,?,0.3,0.0,?,?,0.1,?,?,?,6.6,0.3,0.3,?,60.5,?,10.9,?,8.1,0.1,0.1,?,0.4,?,3.2,?,?,?,?,0.1,?,?,?,0.5,?,?,?,34.6,5.9,35.8,?,61.9,0.6,0.2,0.1,?,33.1,?,?,0.0,?,62.6,55.7,6.9,?,?,1.5,0.3,?,?,?,2.0,?,?,?,2.0,0.7,2.5,6.7,2.7,?,?,?,7.7,?,4.3,0.7,?,?,?,?,?,?,39.9,5.1,2.4,1.8
?,83.8,15.3,?,96.8,81.1,?,0.9,?,2.7,0.5,?,0.6,?,0.2,?,?,?,?,57.8,0.1,?,?,5.0,8.9,0.3,0.5,0.9,?,15.8,?,?,4.0,0.4,?,86.5,?,?,1.8,?,30.1,17.0,?,?,?,?,10.0,19.0,24.3,17.1,19.7,3.1,38.6,59.3,?,?,72.9,8.9,?,0.3,?,90.3,?,0.0,0.0,0.0,0.0,?,0.0,0.0,?,76.0,?,?,98.7,?,0.1,?,0.0,0.2,97.9,10.2,?,1.0,?,?,?,0.0,?,2.1,?,1.4,?,?,?,19.9,70.3,9.8,6.2,0.3,?,0.1,?,83.4,0.0,?,?,?,92.8,84.5,8.3,6.4,?,?,0.8,?,11.5,76.6,6.2,?,3.5,?,5.2,?,?,14.8,?,4.4,82.8,15.5,0.8,0.6,0.2,0.9,?,?,?,?,?,81.1,?,0.9,?,2.7
0,?,41.6,7.5,?,?,40.8,?,2.9,?,0.8,0.1,?,1.1,0.1,0.0,0.3,1.0,76.7,?,?,?,?,13.8,?,?,2.5,?,13.7,15.1,2.6,?,?,?,0.8,?,0.4,0.2,2.1,?,30.2,?,13.8,5.6,?,4.4,7.8,?,22.2,19.0,26.8,5.1,71.9,20.5,?,?,?,12.1,?,?,?,?,?,0.2,?,0.0,?,15.6,0.7,?,3.1,38.0,35.1,?,91.2,?,?,0.2,?,?,?,?,?,?,4.6,6.8,?,0.0,?,?,1.5,12.6,?,4.7,?,5.6,?,?,?,0.6,0.1,?,4.4,32.0,?,?,0.0,0.4,?,?,7.5,27.6,?,?,?,?,?,52.8,1.6,6.1,1.8,66.7,2.4,?,?,?,1.9,18.0,?,53.6,6.4,?,4.1,2.8,?,51.0,41.6,?,97.1,?,?,?,?,?
1,?,?,4.8,96.3,?,?,4.7,3.7,?,?,?,3.4,?,0.1,0.0,?,1.3,?,34.0,?,10.6,1.0,?,?,?,1.9,1.9,?,17.5,?,18.3,9.7,?,?,67.6,2.9,?,2.2,25.0,?,19.5,11.5,5.0,6.6,?,?,?,23.1,?,?,4.4,53.1,41.2,5.7,?,?,10.0,1.4,0.2,0.1,40.6,?,0.7,0.1,0.0,0.1,11.6,0.4,?,?,58.4,25.6,?,?,4.3,?,0.1,0.0,?,?,?,?,3.6,?,?,?,?,0.1,9.9,?,7.8,73.2,?,23.2,24.1,?,?,34.9,?,?,?,6.1,?,?,?,?,0.5,?,?,8.1,?,?,?,?,?,?,?,?,10.4,?,?,?,1.2,3.3,?,?,?,59.3,34.9,?,1.4,2.5,?,100.0,64.6,30.6,?,?,?,?,?,3.7,?
2,?,?,1.7,?,?,17.5,1.7,4.7,?,?,0.0,?,0.5,?,0.1,1.0,1.7,?,?,0.1,?,?,3.5,5.4,?,?,?,?,20.1,0.8,4.1,?,0.3,1.4,?,5.8,?,?,31.6,30.2,15.2,9.0,?,7.3,6.6,?,?,?,16.3,17.7,3.6,?,64.3,3.6,20.2,70.6,7.5,?,0.3,0.1,68.2,22.9,?,0.0,?,0.1,7.2,?,0.1,?,81.1,?,?,?,?,?,?,?,0.4,?,40.3,49.1,?,2.0,1.4,?,?,?,5.1,?,?,?,?,?,44.7,?,6.8,4.8,?,0.1,0.2,8.0,?,0.1,?,0.0,?,97.2,88.3,?,?,?,0.3,0.6,?,25.8,?,9.7,?,2.8,?,8.5,?,3.9,?,10.4,3.8,?,?,1.2,0.5,0.7,?,?,?,18.4,?,95.3,76.1,17.5,?,?,3.7
0,49.0,?,?,97.0,?,45.8,?,3.0,1.8,?,?,10.5,0.1,0.1,?,?,0.8,?,2.7,?,9.5,?,?,9.0,?,?,?,?,6.3,?,8.8,?,?,0.3,?,?,?,?,?,?,15.3,?,1.5,?,12.3,12.7,16.1,18.1,16.0,23.0,?,81.6,?,6.0,?,?,?,0.2,0.0,0.0,?,?,0.1,0.2,?,?,9.7,2.1,?,?,29.0,45.5,?,89.4,7.9,1.5,0.1,0.6,?,?,?,?,20.7,2.8,22.3,0.0,3.6,2.7,30.6,?,29.4,?,?,?,?,?,74.9,68.8,?,?,?,1.2,29.3,0.0,0.1,0.0,?,97.7,?,15.7,?,?,?,0.2,74.2,22.9,?,0.6,?,?,19.3,5.5,0.5,1.5,6.3,1.2,?,62.1,?,5.3,1.4,?,?,100.0,?,?,4.1,97.0,47.2,?,?,?,?
1,53.2,43.2,3.5,96.4,50.7,?,?,3.6,2.6,1.0,?,?,?,0.1,0.0,0.1,0.9,83.0,?,0.7,?,?,?,?,37.6,?,2.1,3.0,?,?,?,64.7,?,0.3,?,0.1,?,?,?,?,?,5.5,1.9,?,?,12.7,?,18.8,?,?,1.7,?,22.5,5.5,30.5,65.8,3.4,0.2,0.0,0.0,?,?,?,?,0.0,0.1,8.1,?,?,?,40.2,?,21.3,?,?,1.3,?,?,?,?,1.4,28.2,18.0,2.5,?,?,3.0,2.4,?,?,?,?,5.6,62.4,3.7,33.4,63.0,57.4,0.3,0.0,0.0,?,?,0.0,0.1,0.1,?,?,84.2,13.7,1.8,1.1,0.6,?,77.2,24.9,?,1.0,?,8.1,24.4,?,?,2.2,9.4,?,?,59.2,?,4.4,?,?,18.4,?,53.2,43.2,3.5,?,?,42.2,?,?,2.6
?,?,25.0,0.6,?,?,?,0.6,6.7,6.2,0.6,?,?,0.1,0.0,?,?,1.1,?,24.0,0.3,?,0.1,?,?,0.5,?,0.3,?,20.6,45.3,2.1,?,0.2,?,67.9,0.1,0.1,?,?,38.7,18.3,7.6,3.8,3.3,?,?,19.4,?,?,?,1.4,23.8,?,3.0,30.1,?,2.6,0.2,?,0.0,94.4,4.7,?,?,0.0,?,0.4,0.1,?,?,95.7,?,?,?,0.3,?,0.0,0.0,0.0,97.5,?,?,4.5,0.8,?,0.0,0.0,?,?,1.0,1.5,?,?,5.5,4.3,92.1,?,?,?,0.0,0.0,?,?,?,0.1,0.3,?,98.9,95.3,3.5,0.2,0.1,0.1,?,92.0,34.4,88.7,3.0,12.4,?,49.6,?,4.4,5.5,?,?,?,44.8,?,?,0.1,?,45.3,?,74.5,25.0,0.6,93.3,68.3,?,0.6,6.7,?
?,?,?,2.5,?,46.8,?,2.4,?,2.4,1.6,0.1,23.3,1.1,0.1,?,?,0.4,?,?,?,31.7,?,?,?,11.6,?,?,5.6,?,?,21.4,47.6,?,?,?,0.2,0.4,?,?,37.6,15.8,5.3,?,?,7.6,9.4,14.2,19.6,?,27.9,4.4,?,23.7,8.3,?,?,?,0.7,?,0.0,48.7,33.2,0.1,0.2,0.0,?,?,5.5,?,?,34.7,?,?,?,?,0.6,0.4,2.8,?,38.9,5.7,18.7,?,4.1,3.4,?,?,0.3,?,?,?,?,6.5,66.8,4.0,21.7,74.3,68.8,?,0.1,?,0.6,29.8,?,0.0,0.0,?,?,?,8.1,11.3,?,1.2,?,49.2,?,43.6,?,2.6,3.0,31.3,?,2.1,?,5.6,0.9,38.6,29.1,?,?,?,?,7.9,?,?,?,2.5,95.9,?,?,?,?,2.4
1,?,?,?,95.8,48.1,45.2,?,4.2,?,?,?,?,0.9,?,?,0.3,?,72.1,5.0,?,?,1.5,4.7,20.7,9.7,?,0.6,?,?,10.0,?,?,0.1,0.5,?,0.3,0.3,4.2,?,38.5,?,?,1.8,?,8.8,10.3,?,?,?,?,?,57.2,35.3,7.5,23.0,?,6.1,?,?,?,53.7,?,0.1,?,0.0,?,?,4.2,1.5,2.9,?,?,15.1,?,?,?,?,2.2,2.7,50.3,5.9,?,?,?,?,?,0.1,?,49.7,?,?,?,6.8,54.8,5.9,?,61.1,?,0.4,?,0.0,1.1,?,?,?,?,0.3,?,83.1,?,9.2,?,?,?,57.3,?,?,1.2,4.2,?,40.5,5.3,?,6.4,?,2.3,31.0,33.6,?,17.7,4.0,?,11.8,100.0,50.6,46.8,?,?,48.1,?,?,?,?
?,?,41.7,?,?,52.0,40.3,?,?,3.3,1.5,?,?,0.2,?,0.1,0.6,0.1,?,15.8,?,?,?,5.0,?,?,?,0.8,8.6,28.5,?,?,?,0.1,?,?,?,0.0,?,26.0,?,20.0,7.0,2.5,?,12.7,?,17.4,21.5,16.8,?,1.7,?,73.0,?,?,?,5.2,?,0.1,?,70.1,?,0.1,0.0,?,0.0,0.8,0.0,0.0,0.4,66.1,28.2,?,?,1.7,0.1,0.0,?,0.4,?,6.4,68.8,?,1.4,4.4,0.0,0.0,0.1,?,3.0,?,76.7,?,15.8,?,69.7,18.4,8.2,?,0.0,0.0,?,88.0,0.1,?,0.0,?,97.0,?,4.9,?,?,?,?,?,18.8,81.8,?,?,?,70.3,11.9,?,?,?,6.8,?,47.9,?,?,?,2.3,?,100.0,?,41.7,3.0,?,?,40.3,2.9,?,?
0,39.2,?,2.6,?,?,57.1,2.5,?,?,?,?,?,0.5,0.9,0.0,0.1,0.4,55.5,?,1.0,?,?,?,?,0.3,?,0.1,1.1,1.7,?,?,81.0,?,0.1,9.5,?,0.1,?,57.7,22.5,?,?,0.7,?,2.8,7.0,?,?,16.4,?,8.6,?,?,1.8,9.5,?,?,1.8,0.3,0.1,?,43.9,?,?,0.0,0.4,?,?,?,0.9,?,?,37.8,?,?,6.8,?,?,?,?,2.2,7.3,?,?,2.8,0.2,0.0,?,?,3.0,?,7.7,12.1,80.2,0.6,14.7,84.7,93.2,1.1,0.0,?,0.1,5.3,0.1,?,0.0,?,?,82.8,?,?,4.8,1.5,?,26.0,15.7,8.6,0.1,?,?,13.8,1.6,5.0,7.2,?,?,?,?,51.8,?,1.1,39.7,?,100.0,?,58.2,?,98.0,38.4,57.1,?,2.0,0.8
1,?,?,2.5,?,41.0,?,?,?,?,?,0.0,31.4,?,?,?,0.2,?,63.8,?,?,74.1,?,?,6.0,?,0.7,?,?,5.9,?,16.6,?,0.2,?,?,0.2,0.1,?,?,?,?,3.7,1.1,1.2,?,7.3,?,?,16.5,?,?,82.5,?,3.7,10.8,?,9.6,?,0.3,?,33.8,42.7,0.5,?,0.0,?,?,9.0,1.1,?,19.4,?,32.0,?,14.0,?,?,6.8,37.2,32.2,?,?,?,0.6,2.3,0.4,?,2.7,67.8,4.6,63.2,?,?,69.4,?,22.6,73.0,73.7,?,0.0,?,0.3,24.5,0.1,0.2,?,0.2,?,82.5,?,?,6.1,?,?,40.4,14.5,?,?,5.7,1.8,23.1,?,?,?,3.9,1.4,?,9.9,?,?,?,?,3.1,?,41.9,?,2.5,98.0,41.0,54.5,2.5,?,?
2,50.2,47.3,?,97.9,48.9,46.5,?,?,?,0.8,0.0,0.5,?,0.2,0.5,?,?,89.8,?,0.4,?,?,12.3,7.8,1.4,1.7,0.4,?,18.9,?,39.9,5.0,0.4,?,?,?,0.2,0.8,18.9,?,?,?,?,?,5.4,8.2,?,?,16.7,?,?,52.0,?,9.7,14.9,79.5,?,0.7,0.1,?,54.4,38.9,?,?,0.0,?,?,?,0.1,?,?,38.2,13.9,?,?,?,?,0.0,?,?,23.2,33.2,?,?,?,?,0.0,?,36.0,9.7,?,46.5,18.1,?,?,?,36.1,12.3,0.6,?,0.2,?,?,?,?,0.0,0.7,88.1,81.7,6.5,?,10.4,?,0.7,?,?,62.7,?,9.1,4.5,52.3,?,5.8,?,?,4.6,19.9,29.9,?,?,?,0.5,0.6,100.0,?,?,?,?,?,46.5,2.4,?,1.3
0,51.7,44.3,?,?,49.4,43.2,3.9,?,2.3,1.1,?,17.0,?,?,?,0.3,1.6,71.4,6.6,1.6,?,?,?,2.8,1.4,?,?,?,?,1.0,14.7,45.5,?,0.5,37.7,?,?,?,32.4,30.8,19.3,?,?,?,?,?,10.9,15.9,16.3,35.9,?,71.6,?,9.6,?,?,?,1.9,?,?,?,28.9,5.9,?,0.9,?,4.7,9.7,?,?,42.3,?,?,?,10.3,?,0.5,1.3,5.4,54.8,?,?,?,4.3,6.8,0.1,0.0,?,?,3.6,41.6,33.0,10.8,56.2,?,28.0,62.8,59.3,1.1,?,0.0,0.4,?,?,0.6,?,0.4,91.1,?,9.2,?,6.9,1.6,?,?,?,?,3.8,?,?,?,4.6,19.8,25.0,14.2,7.2,?,?,55.7,18.0,?,?,2.6,100.0,?,?,?,96.4,?,43.2,3.9,3.6,2.3
1,59.6,36.6,?,96.8,?,?,3.6,3.2,2.0,?,0.1,9.0,?,0.6,?,0.9,?,68.2,16.4,?,47.8,1.9,2.0,?,2.6,?,0.7,21.8,?,1.6,?,?,0.9,?,63.5,?,?,2.6,25.2,34.3,23.3,7.7,3.0,4.0,5.8,?,13.8,19.0,?,28.0,?,44.9,?,?,16.9,?,?,?,0.3,?,56.9,18.0,?,?,?,?,2.9,?,1.0,?,?,28.3,12.6,?,?,0.4,0.3,?,2.3,76.8,17.3,43.9,6.5,4.2,4.0,0.3,0.2,?,?,?,18.9,56.4,12.4,?,20.1,?,38.3,27.8,?,0.1,0.0,0.9,68.6,?,0.6,0.1,0.6,94.6,86.4,?,?,3.9,?,0.6,?,?,69.3,7.4,?,4.2,68.2,?,11.6,?,19.3,?,?,44.4,?,?,0.2,9.1,?,?,59.6,36.6,3.7,96.8,57.6,?,?,?,2.0
?,?,31.4,3.5,97.0,?,30.4,3.5,?,?,1.1,0.1,?,?,0.8,0.4,?,?,66.1,23.0,?,?,?,1.9,1.1,3.4,?,0.9,25.8,?,?,?,5.3,?,?,?,?,0.1,2.1,20.3,?,26.0,?,?,3.9,7.4,11.3,?,21.2,15.5,?,6.2,26.8,51.3,?,19.8,72.8,6.2,?,?,0.1,?,?,?,3.3,?,?,1.7,1.7,0.9,0.5,70.5,?,?,97.8,1.4,?,?,0.4,?,91.7,23.4,55.3,?,4.2,2.2,0.4,?,0.2,?,?,?,?,?,14.1,27.5,50.8,?,?,0.7,?,0.0,?,89.5,?,0.6,?,0.8,?,89.5,?,2.2,1.9,0.3,?,?,14.6,?,9.9,?,4.9,?,12.8,?,?,22.7,16.4,?,58.5,35.4,3.4,0.1,3.3,?,?,?,?,?,?,?,?,?,3.0,1.9
?,34.6,?,2.5,99.1,34.3,?,2.5,0.9,0.3,?,0.0,?,1.3,?,?,?,?,13.4,0.3,?,89.1,2.8,?,?,?,?,?,?,?,1.2,?,90.2,0.2,?,?,0.0,0.1,?,51.8,?,9.5,2.4,0.8,?,?,?,11.1,?,?,40.9,5.5,93.6,4.8,?,12.3,?,?,1.1,?,0.1,14.5,56.4,0.4,?,?,?,?,?,0.8,12.3,15.1,49.6,35.3,21.7,?,5.4,?,9.8,32.2,?,2.5,5.5,?,0.7,?,?,?,?,65.6,?,?,7.7,14.5,?,?,?,?,91.6,0.8,0.2,0.0,?,?,?,?,0.2,0.1,?,86.9,9.9,?,0.8,2.3,0.1,36.3,30.8,?,0.4,?,?,9.3,2.1,?,?,2.5,0.4,54.3,2.2,11.9,?,?,77.5,6.0,?,34.6,62.9,2.5,?,?,?,?,?,0.3
?,?,?,2.3,98.7,38.4,?,2.3,1.3,0.4,?,0.0,?,1.1,?,0.0,?,?,21.2,1.6,?,?,?,0.7,5.3,?,1.0,0.5,?,?,2.3,10.4,?,0.3,?,?,0.0,0.1,?,?,30.9,?,4.2,1.4,1.2,?,?,?,?,?,39.7,5.8,?,10.5,3.1,?,77.3,?,1.1,?,0.1,23.9,51.5,?,0.7,?,0.1,?,?,0.7,?,?,45.6,?,?,25.5,4.5,?,8.2,26.8,42.8,?,?,?,?,?,?,1.0,5.9,57.2,?,51.7,17.4,14.8,?,3.9,26.5,69.7,78.1,?,?,0.0,?,20.1,?,?,0.1,0.2,96.7,?,?,3.2,1.3,?,0.2,?,?,23.0,?,3.9,?,?,3.9,5.0,?,?,?,?,?,?,71.6,?,69.5,6.4,?,?,58.9,?,98.7,?,58.1,2.3,1.3,?
2,60.3,38.5,?,97.0,?,36.9,?,?,?,1.6,?,30.1,0.3,?,0.0,?,?,60.1,?,0.4,56.5,?,?,?,?,1.7,?,?,13.3,?,?,?,?,?,?,?,0.2,?,18.9,?,26.2,12.7,4.0,?,?,9.8,10.4,?,15.4,34.0,7.3,49.9,?,?,?,77.2,?,?,0.1,?,71.0,?,?,0.1,0.0,?,?,0.3,0.1,?,73.0,?,1.9,?,?,?,0.0,?,0.0,?,?,60.3,7.1,5.9,?,?,0.0,1.0,14.9,?,9.1,66.0,?,17.9,13.1,?,?,10.5,0.3,0.0,0.0,1.8,?,?,0.1,0.0,?,?,85.1,10.9,3.6,3.6,?,0.5,?,24.7,?,3.6,5.5,8.3,52.6,12.9,9.8,22.4,?,5.3,9.8,20.3,?,30.2,0.5,29.7,8.6,100.0,?,?,1.2,?,58.9,36.9,?,3.0,1.4
?,?,?,?,?,?,?,0.8,1.9,1.3,0.6,?,78.3,0.1,0.1,?,0.0,0.4,?,1.0,0.1,?,?,?,?,?,1.2,0.4,1.4,?,0.7,6.3,82.3,0.1,?,11.2,?,0.0,7.1,29.8,31.4,18.8,8.4,?,?,?,?,?,12.2,15.6,?,?,?,10.7,?,?,?,?,3.0,0.7,0.2,18.8,65.8,?,0.1,0.5,?,?,5.9,?,2.7,37.4,44.8,?,?,?,8.7,?,3.6,?,?,?,15.4,21.0,?,10.7,0.4,0.0,?,28.9,?,?,?,?,59.2,?,?,?,88.2,?,0.1,0.0,0.1,10.6,0.0,0.0,0.1,0.1,?,?,11.6,?,?,1.0,0.1,?,26.5,?,?,?,3.6,?,4.5,?,?,7.0,?,37.2,?,14.3,78.2,11.4,?,?,?,?,?,0.8,?,?,?,0.8,?,?
?,60.5,38.4,1.1,?,58.6,37.6,1.1,2.7,?,0.8,?,?,?,0.1,?,?,?,26.9,?,1.0,64.5,1.2,?,15.8,?,2.2,?,2.5,?,?,9.0,66.4,0.1,?,?,0.2,0.0,5.7,?,?,?,?,?,2.3,5.0,?,?,14.1,16.3,36.6,11.7,?,?,4.5,14.6,68.3,14.0,?,0.5,?,19.2,?,0.4,1.0,?,0.4,4.3,?,0.1,?,47.3,?,14.6,?,9.4,6.6,0.2,2.7,?,77.2,5.1,?,17.0,?,8.8,0.5,?,11.3,?,2.4,20.4,32.8,19.4,47.8,5.2,34.5,60.2,?,0.7,?,?,0.3,29.9,?,?,?,?,97.2,?,11.1,?,?,?,0.2,?,?,?,1.5,?,4.2,?,7.9,?,?,?,?,?,?,14.9,66.8,8.6,?,?,?,?,?,1.1,?,58.6,37.6,?,2.7,1.9
2,?,?,2.1,94.9,64.5,?,?,5.1,3.5,1.6,0.0,?,0.0,?,?,0.1,1.6,48.0,?,3.6,47.6,?,0.6,?,?,?,0.1,?,19.5,11.4,?,?,?,?,63.5,0.6,?,1.7,21.5,?,?,9.5,?,?,?,?,?,20.1,18.3,?,?,30.6,?,?,23.2,70.9,?,?,0.1,0.0,?,65.4,?,?,?,?,?,?,0.0,0.4,77.2,18.0,4.8,98.9,?,0.0,0.0,?,?,95.6,?,72.2,4.7,3.7,3.0,1.1,?,?,?,?,?,74.9,?,13.2,?,64.2,22.3,9.7,0.3,0.1,?,0.9,?,0.0,?,?,0.6,?,?,9.3,1.4,?,?,?,88.6,13.6,80.9,4.1,?,?,?,18.4,14.3,26.2,17.5,7.1,5.5,35.9,16.8,32.5,0.3,?,14.9,?,?,30.0,?,?,64.5,28.4,2.1,5.1,?
0,70.5,?,1.5,?,?,?,?,?,?,?,0.1,76.5,?,0.1,?,?,?,?,?,0.3,?,0.7,?,10.2,?,0.7,?,?,7.4,1.3,18.3,?,?,?,?,0.2,?,3.7,?,?,?,7.9,3.3,?,?,7.0,8.8,13.4,16.6,36.5,12.8,78.9,10.7,?,?,70.5,13.4,2.3,?,?,19.4,?,?,5.2,18.0,1.5,?,?,1.0,0.8,?,44.8,26.7,?,30.3,?,0.3,?,0.4,?,?,?,?,4.8,7.7,0.3,0.0,1.4,52.6,?,50.2,14.7,?,68.7,2.1,20.8,77.2,?,?,?,?,?,?,?,?,0.0,0.2,95.4,82.6,?,?,?,1.2,?,?,37.7,38.4,1.6,?,?,48.9,5.3,?,21.3,?,3.0,21.7,12.5,10.0,?,?,?,1.5,?,70.5,?,1.5,96.8,?,?,?,?,1.8
?,60.4,?,?,96.5,?,35.5,?,?,?,1.7,?,?,?,0.4,?,?,?,?,?,?,66.1,?,2.4,?,?,?,?,?,12.0,3.5,23.7,48.7,?,?,26.6,?,0.1,2.7,30.0,34.0,?,?,?,2.9,6.4,?,10.3,?,16.7,32.8,?,61.0,28.9,10.1,?,?,?,1.9,?,0.1,23.5,44.4,0.9,3.8,?,?,?,3.3,0.7,?,39.3,38.4,22.3,?,22.9,1.7,0.3,0.3,0.3,?,?,?,14.4,6.1,?,0.3,?,1.0,?,?,?,26.0,18.0,?,?,?,?,?,0.6,?,0.0,0.5,25.5,0.1,?,0.0,0.4,95.2,85.8,?,4.4,3.6,?,?,65.2,39.1,?,?,?,4.9,55.3,?,?,23.9,?,?,?,?,13.6,63.7,?,?,?,?,?,37.2,2.4,?,?,35.5,?,?,?
